date,pair,fold,pnl,equity,event
2021-04-22,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-23,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-26,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-27,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-28,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-29,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-30,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-03,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-04,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-05,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-06,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-07,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-10,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-11,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-12,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-14,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-17,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-05-18,HDFCBANK__KOTAKBANK,3,-918.9374203081754,183082.20254042358,entry
2021-05-19,HDFCBANK__KOTAKBANK,3,9.995047289704623,183092.19758771328,hold
2021-05-20,HDFCBANK__KOTAKBANK,3,211.20292299871087,183303.400510712,hold
2021-05-21,HDFCBANK__KOTAKBANK,3,-688.0947835843808,182615.30572712762,hold
2021-05-24,HDFCBANK__KOTAKBANK,3,-318.5151126391267,182296.7906144885,hold
2021-05-25,HDFCBANK__KOTAKBANK,3,615.0588029417224,182911.84941743023,hold
2021-05-26,HDFCBANK__KOTAKBANK,3,-131.39624123768775,182780.45317619253,hold
2021-05-27,HDFCBANK__KOTAKBANK,3,486.6040525671554,183267.0572287597,hold
2021-05-28,HDFCBANK__KOTAKBANK,3,-97.81609388377568,183169.24113487592,hold
2021-05-31,HDFCBANK__KOTAKBANK,4,-182.4499697332513,182986.79116514267,hold
2021-06-01,HDFCBANK__KOTAKBANK,4,-92.85097756581763,182893.94018757684,hold
2021-06-02,HDFCBANK__KOTAKBANK,4,-63.562845141267125,182830.37734243556,hold
2021-06-03,HDFCBANK__KOTAKBANK,4,132.91095254976454,182963.28829498534,hold
2021-06-04,HDFCBANK__KOTAKBANK,4,404.9421813128746,183368.23047629822,hold
2021-06-07,HDFCBANK__KOTAKBANK,4,81.63966332004495,183449.87013961826,hold
2021-06-08,HDFCBANK__KOTAKBANK,4,24.420213673212757,183474.29035329146,hold
2021-06-09,HDFCBANK__KOTAKBANK,4,-124.98061322773972,183349.30974006373,hold
2021-06-10,HDFCBANK__KOTAKBANK,4,259.7451088265197,183609.05484889026,hold
2021-06-11,HDFCBANK__KOTAKBANK,4,-222.28270330559718,183386.77214558466,hold
2021-06-14,HDFCBANK__KOTAKBANK,4,-294.77240558781034,183091.99973999686,hold
2021-06-15,HDFCBANK__KOTAKBANK,4,-214.6557891427654,182877.3439508541,hold
2021-06-16,HDFCBANK__KOTAKBANK,4,-50.33874645494435,182827.00520439915,hold
2021-06-17,HDFCBANK__KOTAKBANK,4,523.8076230401862,183350.81282743934,hold
2021-06-18,HDFCBANK__KOTAKBANK,4,-428.0087803670805,182922.80404707225,hold
2021-06-21,HDFCBANK__KOTAKBANK,4,-19.77201145119863,182903.03203562106,hold
2021-06-22,HDFCBANK__KOTAKBANK,4,-147.74975519050147,182755.28228043055,hold
2021-06-23,HDFCBANK__KOTAKBANK,4,-397.38553215967465,182357.89674827087,hold
2021-06-24,HDFCBANK__KOTAKBANK,4,-478.6101065857721,181879.2866416851,hold
2021-06-25,HDFCBANK__KOTAKBANK,4,-267.1017171781357,181612.18492450696,hold
2021-06-28,HDFCBANK__KOTAKBANK,4,118.61404176476884,181730.79896627172,hold
2021-06-29,HDFCBANK__KOTAKBANK,4,-478.48294895119864,181252.31601732053,hold
2021-06-30,HDFCBANK__KOTAKBANK,4,90.8860946864298,181343.20211200695,hold
2021-07-01,HDFCBANK__KOTAKBANK,4,432.98736605709547,181776.18947806404,hold
